Title,Description,Display Prompt,Prompt Text,Products,Department,Task Type,Locale
PM 營運系統,產出可審查的PM operating contract、物件關係圖、source-of-truth 規則、決策與變更控制清單，保留證據、未知、責任與核准邊界。,幫我進行PM 營運系統,請為我們的產品團隊建立 PM operating system，統一 intake、PRD、cycle、roadmap、風險與週報的責任邊界。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Prepare,zh-TW
需求與問題分流,產出可審查的triage decision、證據卡、重複候選、路由建議與下一步，保留證據、未知、責任與核准邊界。,幫我進行需求與問題分流,請整理本週收到的產品請求，標示重複項、需要補件的項目，以及建議由哪個 team 接手。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Prepare,zh-TW
Issue 成形,產出可審查的delivery-ready issue、acceptance criteria、dependency map、readiness verdict，保留證據、未知、責任與核准邊界。,幫我進行Issue 成形,把已核准的匯出失敗問題整理成可交付 issue，補上邊界情境、驗收條件與依賴。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Prepare,zh-TW
產品規格撰寫,產出可審查的controlled PRD、需求追溯矩陣、release slices、open-decision register，保留證據、未知、責任與核准邊界。,幫我進行產品規格撰寫,根據客戶研究與現有流程，建立新版權限管理 PRD，包含需求 ID、非功能需求、成功指標與 rollout。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Design,zh-TW
使用者故事地圖,產出可審查的story map、backbone、release slices、learning goals、coverage gaps，保留證據、未知、責任與核准邊界。,幫我進行使用者故事地圖,把已核准的 onboarding PRD 轉成 story map，提出 MVP、第二階段與各 slice 的 learning goal。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Design,zh-TW
專案規模估算,產出可審查的estimate range、assumption log、driver breakdown、confidence 與 re-estimation triggers，保留證據、未知、責任與核准邊界。,幫我進行專案規模估算,請估算這個專案的工程規模，列出樂觀、最可能、保守區間及需要重新估算的觸發條件。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Prepare,zh-TW
加權決策評分,產出可審查的decision matrix、criteria anchors、evidence ledger、sensitivity analysis、recommendation，保留證據、未知、責任與核准邊界。,幫我進行加權決策評分,比較三個分析平台，依成本、整合、安全、可營運性評分，並測試權重改變是否會翻轉結論。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Analyze,zh-TW
風險熱圖,產出可審查的risk register、heatmap、response plan、trigger 與 escalation list，保留證據、未知、責任與核准邊界。,幫我進行風險熱圖,請為下一季 release 建立 5×5 風險熱圖，列出前三大風險、緩解行動、owner 與 residual exposure。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Analyze,zh-TW
專案營運,產出可審查的project operating baseline、milestones、RACI、cadence、dependency/risk/decision registers，保留證據、未知、責任與核准邊界。,幫我進行專案營運,幫我建立新專案的 operating baseline，包含里程碑、角色、決策節奏、依賴與每週健康檢查。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Design,zh-TW
倡議路線圖,產出可審查的initiative roadmap、outcome lanes、dependency map、confidence windows、decision gates，保留證據、未知、責任與核准邊界。,幫我進行倡議路線圖,請建立未來兩季的產品 roadmap，依策略成果排列 initiatives，標出依賴、信心與需要主管決策的地方。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Design,zh-TW
週期規劃,產出可審查的cycle goal、selected/cut list、capacity view、dependency checks、commitment caveats，保留證據、未知、責任與核准邊界。,幫我進行週期規劃,依目前 team capacity 規劃下一個兩週 cycle，列出選入、候補、移除項目與關鍵依賴。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Prepare,zh-TW
客戶訊號綜整,產出可審查的signal ledger、theme clusters、evidence strength、counter-signals、validation questions，保留證據、未知、責任與核准邊界。,幫我進行客戶訊號綜整,整理最近 90 天企業客戶對權限管理的回饋，找出主題、反證、證據強度與下一步驗證問題。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Prepare,zh-TW
專案狀態更新,產出可審查的audience-ready project update、health rationale、period deltas、risks、decisions and asks，保留證據、未知、責任與核准邊界。,幫我進行專案狀態更新,準備本週給主管的專案更新，聚焦成果、健康度變化、風險、依賴與需要決策的事項。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Prepare,zh-TW
成果檢視,產出可審查的outcome scorecard、metric comparison、evidence confidence、learning、continue/change/stop recommendation，保留證據、未知、責任與核准邊界。,幫我進行成果檢視,檢視新版 onboarding 上線後 30 天的成果，比較 baseline、target、observed 與 guardrail，提出下一步。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Analyze,zh-TW
PM 治理與核准,產出可審查的mutation preview、approval record、execution result、read-back verification、audit trail，保留證據、未知、責任與核准邊界。,幫我進行PM 治理與核准,請更新專案狀態並發布主管週報；先列出所有變更與收件對象，等我確認後再執行。 範圍是 {{物件或團隊，例如：目前產品團隊}}，期間是 {{時間範圍，例如：本季}}。請依核准來源產出可直接審查的結果，標示來源與日期、未知與衝突、owner、風險、依賴、待決策事項及下一步；任何建立、更新、寄送或發布先提供完整預覽。,"Copilot work,Copilot web",產品管理,Execute,zh-TW
