Title,Description,Display Prompt,Prompt Text,Products,Department,Task Type,Locale
Brand Content Review,依 canonical Brand guide、Messaging、Terminology、Approved claims、Legal／Privacy、Accessibility、Localization 與 Channel requirements，對 Marketing content 進行逐項審查、分級、Before／After 修正與 Release。,執行 Brand Content Review，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Brand Content Review」。任務定義：依 canonical Brand guide、Messaging、Terminology、Approved claims、Legal／Privacy、Accessibility、Localization 與 Channel requirements，對 Marketing content 進行逐項審查、分級、Before／After 修正與 Release。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Brand Strategy Governance,建立、整併或更新企業 Brand voice、Audience promise、Messaging pillars、Tone spectrum、Terminology、Product naming、Approved claims 與使用規則，並以 Microsoft 365 核准資料維持版本治理。 適用於 Brand system、Messaging。,執行 Brand Strategy Governance，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Brand Strategy Governance」。任務定義：建立、整併或更新企業 Brand voice、Audience promise、Messaging pillars、Tone spectrum、Terminology、Product naming、Approved claims 與使用規則，並以 Microsoft 365 核准資料維持版本治理。 適用於 Brand system、Messaging。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Campaign Optimization Review,診斷已執行 Campaign 的 Audience、Delivery、Creative、Message、Offer、Landing、Journey、Conversion、Lead quality、Budget、Attribution 與 Guardrail，建立 evidence-based Hypotheses、Prioritized tests 與。,執行 Campaign Optimization Review，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Campaign Optimization Review」。任務定義：診斷已執行 Campaign 的 Audience、Delivery、Creative、Message、Offer、Landing、Journey、Conversion、Lead quality、Budget、Attribution 與 Guardrail，建立 evidence-based Hypotheses、Prioritized tests 與。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Campaign Strategy Plan,將明確 Marketing objective 轉為完整 Campaign brief，涵蓋 Audience、Journey、Message、Offer、Channel、Content、Budget、KPI、Measurement、Timeline、Risk、Approval 與執行條件。 適用於 Awareness、Demand。,執行 Campaign Strategy Plan，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Campaign Strategy Plan」。任務定義：將明確 Marketing objective 轉為完整 Campaign brief，涵蓋 Audience、Journey、Message、Offer、Channel、Content、Budget、KPI、Measurement、Timeline、Risk、Approval 與執行條件。 適用於 Awareness、Demand。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Channel Content Adaptation,將一份已核准的核心 Marketing content 轉為 Website、LinkedIn、X、Instagram、YouTube、Email、Teams／community、PR 或地區語言版本，依 Channel 行為重新構圖，同時保持 Claim、Brand、Source、Consent 與 CTA fidelity。 適用於。,執行 Channel Content Adaptation，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Channel Content Adaptation」。任務定義：將一份已核准的核心 Marketing content 轉為 Website、LinkedIn、X、Instagram、YouTube、Email、Teams／community、PR 或地區語言版本，依 Channel 行為重新構圖，同時保持 Claim、Brand、Source、Consent 與 CTA fidelity。 適用於。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Competitive Positioning Brief,研究具名競爭者、替代方案或市場類別，建立以來源為基礎的 Positioning、Messaging、Audience、Proof、Content gap 與 Marketing battlecard。 適用於競爭簡報、Launch messaging、Category positioning 與 Campaign。,執行 Competitive Positioning Brief，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Competitive Positioning Brief」。任務定義：研究具名競爭者、替代方案或市場類別，建立以來源為基礎的 Positioning、Messaging、Audience、Proof、Content gap 與 Marketing battlecard。 適用於競爭簡報、Launch messaging、Category positioning 與 Campaign。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Content Strategy Calendar,依 Audience need、Journey、Brand、Campaign objective、Search／Customer evidence 與既有資產，建立 Content pillars、Topic architecture、Format mix、Repurposing map、Editorial calendar、Owner、Dependency 與。,執行 Content Strategy Calendar，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Content Strategy Calendar」。任務定義：依 Audience need、Journey、Brand、Campaign objective、Search／Customer evidence 與既有資產，建立 Content pillars、Topic architecture、Format mix、Repurposing map、Editorial calendar、Owner、Dependency 與。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Email Nurture Campaign,設計具完整文案、Audience eligibility、Consent、Timing、Narrative arc、Branch、Suppression、Exit、CTA、Measurement 與 Approval 的 Marketing Email sequence，適用於。,執行 Email Nurture Campaign，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Email Nurture Campaign」。任務定義：設計具完整文案、Audience eligibility、Consent、Timing、Narrative arc、Branch、Suppression、Exit、CTA、Measurement 與 Approval 的 Marketing Email sequence，適用於。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Event Webinar Marketing,規劃企業 Event、Webinar、Workshop、Conference 或 Roundtable 的 Audience、Value proposition、Registration、Promotion、Speaker／Content、Calendar、Reminder、Live engagement、Follow-up、Lead treatment 與。,執行 Event Webinar Marketing，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Event Webinar Marketing」。任務定義：規劃企業 Event、Webinar、Workshop、Conference 或 Roundtable 的 Audience、Value proposition、Registration、Promotion、Speaker／Content、Calendar、Reminder、Live engagement、Follow-up、Lead treatment 與。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
Lead Lifecycle Handoff,將 Marketing response、Event／Content／Form engagement 或 approved lead export整理為具 Consent、Identity、Dedupe、Source、Attribution、Qualification、Score evidence、Routing、SLA、Sales。,執行 Lead Lifecycle Handoff，整理證據、假設、風險與核准事項。,請針對 {{業務範圍、期間、目標與已核准來源}} 執行「Lead Lifecycle Handoff」。任務定義：將 Marketing response、Event／Content／Form engagement 或 approved lead export整理為具 Consent、Identity、Dedupe、Source、Attribution、Qualification、Score evidence、Routing、SLA、Sales。 請區分已確認事實、計算、假設、推論與未知，保留來源、版本與 as-of；交付可直接審閱的完整成果、風險、缺口、Owner 與下一步。任何寄送、發布、付款、過帳、預算承諾或系統寫入都先提供精確預覽並取得核准。,Copilot work,Marketing,Analysis and planning,zh-TW
